Timestamp,Course Number (e.g. CSCI 2100),What year did you take the course?,Average total estimated hours worked on assignments,Average total estimated hours worked on studying for exams,Average total estimated hours worked on project deliverables (if applicable)
10/3/2022 10:55:24,CSCI 1100,Fall 2022,4,3,0
10/3/2022 12:08:20,CSCI 4380,Fall 2022,6,6,
10/3/2022 12:15:37,CSCI 4380,Fall 2022,3,2,
10/3/2022 12:21:16,ERTH 2209,Fall 2022,1,2,
10/3/2022 12:35:56,ENGR-1200,Fall 2022,3,0,0
10/3/2022 12:36:43,ENGR-1100,Fall 2022,5,4,0
10/3/2022 12:37:19,MATH-1020,Fall 2022,2,3,0
10/3/2022 12:37:51,IHSS-1200,Fall 2022,4,1,0
10/3/2022 12:39:13,PHYS-1100,Fall 2022,5,4,0
10/3/2022 13:54:26,PHYS 1100,Fall 2022,4,7,
10/3/2022 15:27:41,CSCI 1100,Fall 2019,10,4,
10/3/2022 15:28:43,IHSS 1350,Fall 2019,4,2,
10/3/2022 15:29:08,MATH 1010,Fall 2019,6,4,
10/3/2022 15:29:44,STSH 1100,Fall 2019,3,2,4
10/3/2022 15:30:37,STSS 2100,Fall 2020,3,2,5
10/3/2022 15:31:13,ECON 2010,Fall 2020,3,3,
10/3/2022 15:31:38,ECON 2020,Fall 2020,4,3,
10/3/2022 15:32:51,STSS 4430,Spring 2021,4,0,6
10/3/2022 15:39:55,MANE 4030,Spring 2022,4,10,
10/3/2022 15:40:16,MANE 2720,Spring 2022,3,7,
10/3/2022 15:40:38,MANE 4730,Spring 2022,4,8,
10/4/2022 9:12:32,MANE 4500,Fall 2022,6,6,
10/4/2022 9:13:08,MANE 4900,Fall 2022,2,5,
10/4/2022 9:22:18,CS1100,Fall 2022,2,3,3
10/4/2022 9:24:28,IHSS1300,Fall 2022,1,2,
10/4/2022 9:25:18,MATH1010,Fall 2022,2,2,
10/4/2022 9:25:45,ITWS1100,Fall 2022,3,2,4
10/4/2022 9:26:14,PHYS 1100,Fall 2022,2,4,2
10/4/2022 11:31:28,PSYC 4730,Fall 2022,2.5,6,
10/4/2022 11:47:32,CSCI 2300,Spring 2022,4,2,
10/4/2022 11:48:14,Csci 1100,Fall 2022,3,2,0
10/4/2022 12:13:49,ECSE 2010,Fall 2021,8,20,
10/4/2022 18:02:29,BIOL 1200,Fall 2020,6,12,
10/4/2022 18:03:41,CSCI 4440,Spring 2021,20,0,8
10/4/2022 18:03:52,ECSE 1100,Fall 2021,4,20,
10/4/2022 18:13:28,CSCI 1200,Fall 2019,12,5,
10/4/2022 18:18:08,CSCI 4962,Fall 2021,4,0,12
10/4/2022 18:18:50,ERTH 2160,Fall 2021,3,4,
10/4/2022 18:19:39,CSCI 4600,Spring 2021,4,0,14
10/4/2022 18:20:51,CSCI 4210,Summer 2021,4,4,5
10/4/2022 18:21:23,COGS 4430,Fall 2020,5,0,12